Unidade;UF;CVpolio2012;CVpolio2013;CVpolio2014;CVpolio2015;CVpolio2016;CVpolio2017;CVpolio2018;CVpolio2019;CVpolio2020;CVpolio2021;CVpolio2022
11 Rondônia;11;105,68;100,07;108,09;105,44;105,44;108,18;101,89;98,26;82,51;74,58;81,68
12 Acre;12;96,07;92,78;75,44;82,74;71,27;74,01;78,34;81,73;63,08;61,78;71,21
13 Amazonas;13;91,93;96,83;98,86;104,80;76,24;76,43;79,25;83,29;68,17;67,75;76,36
14 Roraima;14;88,78;86,48;89,54;112,28;88,45;90,52;79,79;79,76;73,67;50,96;58,38
15 Pará;15;97,78;96,98;84,36;72,09;63,15;67,63;69,09;72,72;59,78;56,75;64,43
16 Amapá;16;92,67;93,31;80,66;92,38;47,59;63,18;68,74;73,01;42,68;45,36;51,32
17 Tocantins;17;92,75;96,97;90,51;97,22;84,77;86,05;91,68;88,17;84,42;80,22;84,46
21 Maranhão;21;97,54;105,73;93,42;100,02;69,43;74,26;80,61;75,73;60,91;61,94;72,23
22 Piauí;22;93,91;93,06;81,86;80,92;70,69;78,10;83,71;81,85;72,96;72,80;84,98
23 Ceará;23;97,79;104,79;103,92;113,68;107,89;97,34;111,08;93,54;88,42;74,25;84,98
24 Rio Grande do Norte;24;93,98;93,86;95,63;97,64;70,25;69,52;90,32;80,74;70,58;71,66;73,71
25 Paraíba;25;92,08;108,24;100,40;96,12;85,46;82,34;92,26;92,60;73,77;70,29;70,43
26 Pernambuco;26;100,08;101,06;101,68;109,29;90,38;84,67;94,72;85,64;72,78;68,98;74,64
27 Alagoas;27;90,22;97,53;93,32;94,25;80,07;83,88;96,13;87,89;74,40;77,52;84,39
28 Sergipe;28;96,85;99,41;94,25;93,69;78,29;79,00;89,74;80,86;71,62;72,26;79,14
29 Bahia;29;93,26;96,40;93,87;95,42;70,72;78,34;78,25;74,83;70,86;63,05;73,73
31 Minas Gerais;31;98,61;103,24;96,51;97,12;88,29;87,07;97,75;88,52;86,61;76,47;81,64
32 Espírito Santo;32;104,93;100,22;101,25;99,39;89,28;83,22;90,95;86,68;81,66;77,41;78,57
33 Rio de Janeiro;33;96,87;99,95;100,89;107,03;89,93;88,76;87,48;73,62;56,84;55,79;57,29
35 São Paulo;35;96,44;98,95;95,73;99,68;83,84;87,71;92,55;86,62;82,25;74,39;74,25
41 Paraná;41;96,78;104,65;98,76;97,39;87,54;90,41;90,88;89,69;86,35;80,75;83,30
42 Santa Catarina;42;99,97;97,78;97,17;102,43;92,12;95,11;94,59;93,68;88,70;83,76;86,16
43 Rio Grande do Sul;43;89,40;100,28;95,42;89,20;84,46;85,73;85,70;85,09;85,14;76,35;78,12
50 Mato Grosso do Sul;50;102,28;118,01;130,10;120,36;93,78;91,49;95,95;94,41;83,16;75,70;84,90
51 Mato Grosso;51;99,50;101,20;102,47;102,81;90,64;84,07;90,27;85,81;81,50;76,29;82,95
52 Goiás;52;101,00;107,69;97,65;95,88;82,10;81,56;85,54;81,52;78,13;72,71;75,51
53 Distrito Federal;53;93,65;112,17;94,34;74,92;136,83;84,41;86,03;84,32;81,54;73,23;77,34
