Rank;Ufnome;UF;IDH2021;E2021;R2021;L2021;IDH2010;E2010;R2010;L2010;IDH2000;E2000;R2000;L2000;IDH2000;E2000;R2000;L2000;EV2020;EV2020Homem;EV2020Mulher;TMI2021;CSA2013
16; Acre;AC;0,71;0,692;0,655;0,788;0,663;0,559;0,671;0,777;0,517;0,325;0,612;0,694;0,402;0,176;0,574;0,645;75,3;72,1;78,8;17,8;0,688
26; Alagoas;AL;0,684;0,679;0,63;0,748;0,631;0,52;0,641;0,755;0,471;0,282;0,574;0,647;0,37;0,174;0,527;0,552;73,3;68,5;78;13,4;0,654
25; Amapá;AP;0,688;0,647;0,648;0,778;0,708;0,629;0,694;0,813;0,577;0,424;0,638;0,711;0,472;0,254;0,62;0,668;75;72,6;77,7;19,9;0,721
18; Amazonas;AM;0,7;0,72;0,641;0,744;0,674;0,561;0,677;0,805;0,515;0,324;0,608;0,692;0,43;0,204;0,605;0,645;73;69,6;76,7;14,8;0,571
22; Bahia;BA;0,691;0,659;0,648;0,772;0,66;0,555;0,663;0,783;0,512;0,332;0,594;0,68;0,386;0,182;0,543;0,582;74,5;70,5;79,3;14,9;0,622
12; Ceará;CE;0,734;0,766;0,658;0,784;0,682;0,615;0,651;0,793;0,541;0,377;0,588;0,713;0,405;0,204;0,532;0,613;74,8;70,9;78,8;10,7;0,645
1; Distrito Federal;DF;0,814;0,817;0,821;0,803;0,824;0,742;0,863;0,873;0,725;0,582;0,805;0,814;0,616;0,419;0,762;0,731;79,3;75,6;82,5;10,6;0,867
6; Espírito Santo;ES;0,771;0,742;0,715;0,864;0,74;0,653;0,743;0,835;0,64;0,491;0,687;0,777;0,505;0,304;0,619;0,686;79,5;75,8;83,4;11,2;0,896
10; Goiás;GO;0,737;0,778;0,714;0,721;0,735;0,646;0,742;0,827;0,615;0,439;0,686;0,773;0,487;0,273;0,633;0,668;74,9;71,8;78,3;12,1;0,804
27; Maranhão;MA;0,676;0,716;0,603;0,715;0,639;0,562;0,612;0,757;0,476;0,312;0,531;0,649;0,357;0,173;0,478;0,551;71,9;68,2;75,8;13,5;0,391
11; Mato Grosso;MT;0,736;0,758;0,72;0,73;0,725;0,635;0,732;0,821;0,601;0,426;0,689;0,74;0,449;0,221;0,627;0,654;75,3;72,3;78,9;12,7;0,806
9; Mato Grosso do Sul;MS;0,742;0,741;0,733;0,751;0,729;0,629;0,74;0,833;0,613;0,445;0,687;0,752;0,488;0,259;0,641;0,699;76,7;73,3;80,3;10,7;0,818
4; Minas Gerais;MG;0,774;0,762;0,718;0,846;0,731;0,638;0,73;0,838;0,624;0,47;0,68;0,759;0,478;0,257;0,618;0,689;78,4;75,6;81,2;10,7;0,816
24; Pará;PA;0,69;0,686;0,645;0,744;0,646;0,528;0,646;0,789;0,518;0,319;0,601;0,725;0,413;0,194;0,567;0,64;73;69,1;77,3;14,7;0,622
21; Paraíba;PB;0,698;0,669;0,653;0,779;0,658;0,555;0,656;0,783;0,506;0,331;0,582;0,672;0,382;0,191;0,515;0,565;74,6;70,3;78,4;12,6;0,635
7; Paraná;PR;0,769;0,78;0,744;0,785;0,749;0,668;0,757;0,83;0,65;0,522;0,704;0,747;0,507;0,298;0,644;0,679;78,4;75,8;81,9;9,5;0,839
15; Pernambuco;PE;0,719;0,721;0,647;0,797;0,673;0,574;0,673;0,789;0,544;0,372;0,615;0,705;0,44;0,232;0,569;0,617;75,6;71,9;79,1;12,4;0,741
23; Piauí;PI;0,69;0,698;0,649;0,726;0,646;0,547;0,635;0,777;0,484;0,301;0,556;0,676;0,362;0,164;0,488;0,595;71,9;67,6;76,3;13,8;0,444
8; Rio de Janeiro;RJ;0,762;0,758;0,759;0,769;0,761;0,675;0,782;0,835;0,664;0,53;0,745;0,74;0,573;0,392;0,696;0,69;77,5;74,2;80,5;12,7;0,822
5; Rio Grande do Sul;RS;0,771;0,75;0,767;0,797;0,746;0,642;0,769;0,84;0,664;0,505;0,72;0,804;0,542;0,328;0,667;0,729;76,7;72,8;80,7;12,2;0,675
14; Rio Grande do Norte;RN;0,728;0,68;0,692;0,819;0,684;0,597;0,678;0,792;0,552;0,396;0,608;0,7;0,428;0,242;0,547;0,591;79;75,7;82,5;9,6;0,841
19; Rondônia;RO;0,7;0,694;0,677;0,731;0,69;0,577;0,712;0,8;0,537;0,345;0,654;0,688;0,407;0,181;0,585;0,635;72,2;69,1;75,8;12,3;0,784
20; Roraima;RR;0,699;0,673;0,68;0,745;0,707;0,628;0,695;0,809;0,598;0,457;0,652;0,717;0,459;0,24;0,643;0,628;72,9;70,6;75,5;19,4;0,673
3; Santa Catarina;SC;0,792;0,79;0,759;0,827;0,774;0,697;0,773;0,86;0,674;0,526;0,717;0,812;0,543;0,329;0,648;0,753;80,4;77,2;83,7;9,2;0,889
2; São Paulo;SP;0,806;0,839;0,771;0,81;0,783;0,719;0,789;0,845;0,702;0,581;0,756;0,786;0,578;0,363;0,729;0,73;79,3;76,3;82,1;10,4;0,884
17; Sergipe;SE;0,702;0,684;0,662;0,764;0,665;0,56;0,672;0,781;0,518;0,343;0,596;0,678;0,413;0,211;0,552;0,581;73,8;69,6;78,1;14;0,673
13; Tocantins;TO;0,731;0,732;0,684;0,779;0,699;0,624;0,69;0,793;0,525;0,348;0,605;0,688;0,369;0,155;0,549;0,589;74,6;71,6;77,9;12,6;0,624
