num; Sexo; y; idade
1;0; 21.0;8
1;0; 20.0;10
1;0; 21.5;12
1;0; 23.0;14
2;0; 21.0;8
2;0; 21.5;10
2;0; 24.0;12
2;0; 25.5;14
3;0; 20.5;8
3;0; 24.0;10
3;0; 24.5;12
3;0; 26.0;14
4;0; 23.5;8
4;0; 24.5;10
4;0; 25.0;12
4;0; 26.5;14
5;0; 21.5;8
5;0; 23.0;10
5;0; 22.5;12
5;0; 23.5;14
6;0; 20.0;8
6;0; 21.0;10
6;0; 21.0;12
6;0; 22.5;14
7;0; 21.5;8
7;0; 22.5;10
7;0; 23.0;12
7;0; 25.0;14
8;0; 23.0;8
8;0; 23.0;10
8;0; 23.5;12
8;0; 24.0;14
9;0; 20.0;8
9;0; 21.0;10
9;0; 22.0;12
9;0; 21.5;14
10;0; 16.5;8
10;0; 19.0;10
10;0; 19.0;12
10;0; 19.5;14
11;0; 24.5;8
11;0; 25.0;10
11;0; 28.0;12
11;0; 28.0;14
12;1; 26.0;8
12;1; 25.0;10
12;1; 29.0;12
12;1; 31.0;14
13;1; 21.5;8
13;1; 22.5;10
13;1; 23.0;12
13;1; 26.5;14
14;1; 23.0;8
14;1; 22.5;10
14;1; 24.0;12
14;1; 27.5;14
15;1; 25.5;8
15;1; 27.5;10
15;1; 26.5;12
15;1; 27.0;14
16;1; 20.0;8
16;1; 23.5;10
16;1; 22.5;12
16;1; 26.0;14
17;1; 24.5;8
17;1; 25.5;10
17;1; 27.0;12
17;1; 28.5;14
18;1; 22.0;8
18;1; 22.0;10
18;1; 24.5;12
18;1; 26.5;14
19;1; 24.0;8
19;1; 21.5;10
19;1; 24.5;12
19;1; 25.5;14
20;1; 23.0;8
20;1; 20.5;10
20;1; 31.0;12
20;1; 26.0;14
21;1; 27.5;8
21;1; 28.0;10
21;1; 31.0;12
21;1; 31.5;14
22;1; 23.0;8
22;1; 23.0;10
22;1; 23.5;12
22;1; 25.0;14
23;1; 21.5;8
23;1; 23.5;10
23;1; 24.0;12
23;1; 28.0;14
24;1; 17.0;8
24;1; 24.5;10
24;1; 26.0;12
24;1; 29.5;14
25;1; 22.5;8
25;1; 25.5;10
25;1; 25.5;12
25;1; 26.0;14
26;1; 23.0;8
26;1; 24.5;10
26;1; 26.0;12
26;1; 30.0;14
27;1; 22.0;8
27;1; 21.5;10
27;1; 23.5;12
27;1; 25.0;14
